Rok,Województwo,Średnia
2001,Kujawsko-Pomorskie,3.148039216
2002,Dolnośląskie,3.325576923
2002,Kujawsko-Pomorskie,4.307883576411764
2002,Lubelskie,2.191535294
2002,Podkarpackie,2.770806452
2002,Świętokrzyskie,2.2662764635
2003,Dolnośląskie,2.9977796023999996
2003,Kujawsko-Pomorskie,2.571826953695652
2003,Lubelskie,1.7952413273333334
2003,Mazowieckie,3.5926177696666666
2003,Łódzkie,1.91845923
2003,Świętokrzyskie,2.9358930455
2004,Dolnośląskie,2.3692857716
2004,Kujawsko-Pomorskie,1.3492283107272727
2004,Lubelskie,2.0688888574999997
2004,Mazowieckie,1.9427904462222219
2004,Małopolskie,4.301851852
2004,Łódzkie,1.692387527
2004,Świętokrzyskie,2.41381145
2005,Dolnośląskie,3.2663404286666666
2005,Kujawsko-Pomorskie,2.0669591549047617
2005,Lubelskie,1.6347341903750001
2005,Lubuskie,0.034748261
2005,Mazowieckie,1.6296979256250002
2005,Małopolskie,6.632075472
2005,Opolskie,8.0747099725
2005,Wielkopolskie,0.63285624
2005,Zachodniopomorskie,0.597713825
2005,Łódzkie,1.5825493965
2005,Śląskie,3.571815702
2005,Świętokrzyskie,2.225884615
2006,Dolnośląskie,2.7713015221666666
2006,Kujawsko-Pomorskie,2.7650857531304354
2006,Lubelskie,2.1224320318
2006,Mazowieckie,1.74014304525
2006,Małopolskie,6.218965517
2006,Opolskie,8.902335058
2006,Warmińsko-Mazurskie,1.212830636
2006,Wielkopolskie,0.91778058
2006,Zachodniopomorskie,1.248217758
2006,Łódzkie,2.235779428
2006,Śląskie,2.718039396
2006,Świętokrzyskie,2.3752783195
2007,Dolnośląskie,2.2134335962
2007,Kujawsko-Pomorskie,1.9368431997916662
2007,Lubelskie,1.8421222701999997
2007,Mazowieckie,1.1633966305714285
2007,Małopolskie,2.298035714
2007,Opolskie,3.5905155315
2007,Pomorskie,1.6206921712500002
2007,Warmińsko-Mazurskie,1.734204454
2007,Wielkopolskie,1.173098086
2007,Zachodniopomorskie,0.856404707
2007,Łódzkie,2.000335604
2007,Śląskie,3.2757908104999998
2007,Świętokrzyskie,1.6266384349999998
2008,Dolnośląskie,2.2321845256666664
2008,Kujawsko-Pomorskie,1.9139427147931034
2008,Lubelskie,1.8687026284444446
2008,Lubuskie,2.091972122
2008,Mazowieckie,1.7878060155714286
2008,Małopolskie,3.662591446
2008,Opolskie,8.189508837
2008,Pomorskie,1.5070146400000002
2008,Warmińsko-Mazurskie,2.251944574
2008,Wielkopolskie,1.414092418
2008,Zachodniopomorskie,0.339609467
2008,Łódzkie,1.6443916575
2008,Śląskie,2.318565083
2008,Świętokrzyskie,2.422601189
2009,Dolnośląskie,2.6900846040000004
2009,Kujawsko-Pomorskie,4.247992705719999
2009,Lubelskie,1.8240775602857142
2009,Lubuskie,2.373914397
2009,Mazowieckie,2.135620344
2009,Małopolskie,4.043193685
2009,Opolskie,5.7929257915
2009,Pomorskie,1.5071586166
2009,Warmińsko-Mazurskie,1.81527695
2009,Wielkopolskie,1.232068791
2009,Zachodniopomorskie,0.481913043
2009,Łódzkie,2.331806349
2009,Śląskie,2.3687966715
2009,Świętokrzyskie,2.360769406
2010,Dolnośląskie,2.3062432962000003
2010,Kujawsko-Pomorskie,2.9335169850000002
2010,Lubelskie,2.2504452378
2010,Lubuskie,1.086424385
2010,Mazowieckie,1.8226407817499997
2010,Małopolskie,2.44528078475
2010,Opolskie,7.358924437
2010,Pomorskie,1.0814485715
2010,Warmińsko-Mazurskie,1.6775485565000001
2010,Wielkopolskie,0.646730926
2010,Zachodniopomorskie,0.810126731
2010,Łódzkie,2.6991778615
2010,Śląskie,1.866091136
2010,Świętokrzyskie,2.511884615
2011,Dolnośląskie,2.486046512
2011,Kujawsko-Pomorskie,1.3254379882000002
2011,Lubelskie,2.66652050075
2011,Lubuskie,0.003488372
2011,Mazowieckie,1.4178822668000002
2011,Małopolskie,2.51077179525
2011,Opolskie,10.955819456499999
2011,Podkarpackie,0.751231678
2011,Pomorskie,1.1217852886
2011,Warmińsko-Mazurskie,1.0815349585
2011,Wielkopolskie,0.840071826
2011,Zachodniopomorskie,0.670343923
2011,Łódzkie,2.213470063
2011,Śląskie,2.106875671
2011,Świętokrzyskie,2.727442308
2012,Dolnośląskie,2.0237549985000003
2012,Kujawsko-Pomorskie,1.3762765049999999
2012,Lubelskie,2.009192851
2012,Lubuskie,0.605212466
2012,Mazowieckie,1.7080005061666668
2012,Małopolskie,3.17743577175
2012,Opolskie,8.366965642
2012,Pomorskie,2.013410438
2012,Wielkopolskie,1.000549182
2012,Łódzkie,2.5518335775
2012,Śląskie,2.424645258
2012,Świętokrzyskie,1.978431373
2013,Dolnośląskie,2.52046272875
2013,Kujawsko-Pomorskie,1.325944942
2013,Lubelskie,1.7680413135
2013,Lubuskie,0.36722272949999996
2013,Mazowieckie,1.7334935541666667
2013,Małopolskie,3.0582661582000004
2013,Opolskie,4.852467146
2013,Podlaskie,1.905233674
2013,Pomorskie,2.0519188131666666
2013,Warmińsko-Mazurskie,0.752077955
2013,Wielkopolskie,0.498126652
2013,Łódzkie,2.2284659104999998
2013,Śląskie,1.987895641
2013,Świętokrzyskie,1.768269231
2014,Dolnośląskie,2.1914493399999997
2014,Kujawsko-Pomorskie,1.132944488
2014,Lubelskie,1.1573825346666666
2014,Lubuskie,0.4501129085
2014,Mazowieckie,1.7467108491666667
2014,Małopolskie,2.8226815434000003
2014,Opolskie,4.348267595
2014,Podkarpackie,0.840687538
2014,Pomorskie,2.6139411063750004
2014,Warmińsko-Mazurskie,0.7652436225
2014,Wielkopolskie,0.319694015
2014,Łódzkie,1.8122767985000001
2014,Śląskie,2.8596233272499996
2014,Świętokrzyskie,1.110629284
2015,Dolnośląskie,1.7261017968
2015,Kujawsko-Pomorskie,1.0711390843333335
2015,Lubelskie,1.7913510806666666
2015,Lubuskie,0.5775988995
2015,Mazowieckie,1.4874389045
2015,Małopolskie,2.4391039512
2015,Opolskie,2.7867892235
2015,Podkarpackie,1.323404711
2015,Podlaskie,0.557205479
2015,Pomorskie,2.0750981415
2015,Warmińsko-Mazurskie,0.7007351745
2015,Wielkopolskie,1.087565425
2015,Zachodniopomorskie,0.861366502
2015,Łódzkie,2.0652378303333334
2015,Śląskie,2.8836433017500003
2015,Świętokrzyskie,0.539710988
2016,Dolnośląskie,1.1928461689999998
2016,Kujawsko-Pomorskie,0.7063582285000001
2016,Lubelskie,2.0401157813333333
2016,Lubuskie,0.5454749805
2016,Mazowieckie,1.567017772
2016,Małopolskie,2.4670536022
2016,Opolskie,6.0749427215
2016,Podkarpackie,1.4255651196666665
2016,Podlaskie,0.921375
2016,Pomorskie,2.609503282857143
2016,Warmińsko-Mazurskie,0.851921652
2016,Wielkopolskie,1.055454219
2016,Zachodniopomorskie,1.073737115
2016,Łódzkie,1.184506222
2016,Śląskie,2.9721223772
2016,Świętokrzyskie,0.774792734
2017,Dolnośląskie,0.9270038495999999
2017,Kujawsko-Pomorskie,0.9821969535
2017,Lubelskie,1.7857187513333335
2017,Lubuskie,0.675503935
2017,Mazowieckie,1.2649283863999998
2017,Małopolskie,2.2410551668
2017,Opolskie,3.4451750700000003
2017,Podkarpackie,1.4390422999999999
2017,Podlaskie,0.632018182
2017,Pomorskie,1.6672356632857144
2017,Warmińsko-Mazurskie,1.129647602
2017,Wielkopolskie,1.090524412
2017,Zachodniopomorskie,0.927508137
2017,Łódzkie,0.7509171880000001
2017,Śląskie,2.3903422738
2017,Świętokrzyskie,1.196507898
2018,Dolnośląskie,1.0455599586
2018,Kujawsko-Pomorskie,1.1491161578000002
2018,Lubelskie,1.5346003396666665
2018,Lubuskie,0.8074769925
2018,Mazowieckie,1.20219141325
2018,Małopolskie,2.2947958076
2018,Opolskie,2.4362236090000002
2018,Podkarpackie,1.53542885
2018,Podlaskie,0.772978467
2018,Pomorskie,1.5559746318333332
2018,Warmińsko-Mazurskie,1.23639544
2018,Wielkopolskie,0.95582334775
2018,Zachodniopomorskie,1.104663068
2018,Łódzkie,1.1837830825
2018,Śląskie,2.1936063981999996
2018,Świętokrzyskie,1.306062782
2019,Dolnośląskie,0.9533868647499999
2019,Kujawsko-Pomorskie,0.9284508907500001
2019,Lubelskie,1.3753734956666666
2019,Lubuskie,0.5375282136000001
2019,Mazowieckie,1.0329961490000001
2019,Małopolskie,1.3566674680000002
2019,Opolskie,1.7346410035000002
2019,Podkarpackie,1.35879225475
2019,Podlaskie,0.497198296
2019,Pomorskie,1.4445560732
2019,Warmińsko-Mazurskie,0.7903120119999999
2019,Wielkopolskie,0.52505569525
2019,Łódzkie,1.141249931
2019,Śląskie,1.5435982114
2019,Świętokrzyskie,1.2385537145
2020,Dolnośląskie,1.0345626572
2020,Kujawsko-Pomorskie,0.9006439056
2020,Lubelskie,1.5414790834999998
2020,Lubuskie,0.4656200704
2020,Mazowieckie,1.0159849276666666
2020,Małopolskie,1.1691120849999999
2020,Opolskie,1.599762511
2020,Podkarpackie,1.166673778
2020,Podlaskie,0.5872737785
2020,Pomorskie,0.32659693700000003
2020,Warmińsko-Mazurskie,0.921381388
2020,Wielkopolskie,0.44872218525
2020,Łódzkie,0.9435955725
2020,Śląskie,1.3188520984285717
2020,Świętokrzyskie,1.2607212909999999
2021,Dolnośląskie,1.0575156258
2021,Kujawsko-Pomorskie,1.2523245856666667
2021,Lubelskie,1.385417551
2021,Lubuskie,0.4744988151999999
2021,Mazowieckie,1.2603684978333334
2021,Małopolskie,1.1856230835714285
2021,Opolskie,2.1101386263333333
2021,Podkarpackie,1.306714544
2021,Podlaskie,0.8285342675
2021,Pomorskie,0.7165749433333333
