Rok,Województwo,Średnia
2000,Dolnośląskie,11.480504783999999
2000,Mazowieckie,9.27350751
2000,Małopolskie,137.56650204299999
2000,Pomorskie,23.898032807750003
2000,Wielkopolskie,18.656021155
2000,Śląskie,54.277667323
2001,Dolnośląskie,14.1491909445
2001,Mazowieckie,25.23000008
2001,Małopolskie,124.933275944
2001,Pomorskie,24.367192320888886
2001,Śląskie,49.303205908666676
2002,Dolnośląskie,14.173312616
2002,Mazowieckie,23.702293887
2002,Małopolskie,128.77607746133333
2002,Pomorskie,22.073979636666667
2002,Wielkopolskie,12.260675826
2002,Śląskie,48.136489279
2003,Dolnośląskie,13.638301436117652
2003,Kujawsko-Pomorskie,30.543303499
2003,Lubelskie,30.507933333
2003,Mazowieckie,21.867763727375
2003,Małopolskie,130.018896394
2003,Pomorskie,25.380584420111113
2003,Wielkopolskie,17.91590106
2003,Zachodniopomorskie,24.055416369
2003,Łódzkie,32.684402843142855
2003,Śląskie,63.68957347966667
2003,Świętokrzyskie,12.872857964
2004,Dolnośląskie,16.2903289781579
2004,Kujawsko-Pomorskie,16.993642649999998
2004,Mazowieckie,31.684312224600006
2004,Małopolskie,62.055575053750005
2004,Podlaskie,10.715715642666666
2004,Pomorskie,20.2285716185
2004,Zachodniopomorskie,20.963239192
2004,Łódzkie,26.048251873749997
2004,Śląskie,17.273620436
2004,Świętokrzyskie,17.644955224
2005,Dolnośląskie,25.610485180666657
2005,Kujawsko-Pomorskie,24.218654280333336
2005,Lubelskie,25.899885222
2005,Lubuskie,26.023294997
2005,Mazowieckie,34.5170643751
2005,Małopolskie,62.89966491587499
2005,Opolskie,22.462128056666668
2005,Podkarpackie,23.827962511
2005,Podlaskie,19.599203549200002
2005,Pomorskie,23.730458199250002
2005,Warmińsko-Mazurskie,16.8744383192
2005,Wielkopolskie,18.615864042
2005,Zachodniopomorskie,23.23384565325
2005,Łódzkie,30.91690022033334
2005,Śląskie,18.462206322
2006,Dolnośląskie,27.40592604433333
2006,Kujawsko-Pomorskie,32.697992314
2006,Lubelskie,32.981159856
2006,Lubuskie,24.303975783000002
2006,Mazowieckie,41.54404411000001
2006,Małopolskie,69.46342731349999
2006,Opolskie,28.492543655333336
2006,Podkarpackie,22.471682661333332
2006,Podlaskie,17.660484915399998
2006,Pomorskie,25.0760468557
2006,Warmińsko-Mazurskie,17.8036507636
2006,Wielkopolskie,25.660397690666667
2006,Zachodniopomorskie,26.116363527750003
2006,Łódzkie,32.68823507722223
2006,Śląskie,18.2462727645
2006,Świętokrzyskie,12.846911265
2007,Dolnośląskie,24.05927958258334
