Rok,Województwo,Liczba
1999,Dolnośląskie,10543
1999,Kujawsko-Pomorskie,6608
1999,Lubelskie,4803
1999,Lubuskie,1146
1999,Mazowieckie,13496
1999,Małopolskie,10489
1999,Opolskie,3306
1999,Podkarpackie,5255
1999,Podlaskie,3630
1999,Pomorskie,7464
1999,Warmińsko-Mazurskie,3628
1999,Wielkopolskie,10274
1999,Zachodniopomorskie,4931
1999,Łódzkie,5272
1999,Śląskie,15693
1999,Świętokrzyskie,4946
2000,Dolnośląskie,9882
2000,Kujawsko-Pomorskie,5893
2000,Lubelskie,6409
2000,Lubuskie,2243
2000,Mazowieckie,13697
2000,Małopolskie,10086
2000,Opolskie,3348
2000,Podkarpackie,5722
2000,Podlaskie,3489
2000,Pomorskie,7496
2000,Warmińsko-Mazurskie,3394
2000,Wielkopolskie,10513
2000,Zachodniopomorskie,4757
2000,Łódzkie,6874
2000,Śląskie,15863
2000,Świętokrzyskie,4955
2001,Dolnośląskie,10104
2001,Kujawsko-Pomorskie,5620
2001,Lubelskie,7277
2001,Lubuskie,2158
2001,Mazowieckie,14256
2001,Małopolskie,9583
2001,Opolskie,3397
2001,Podkarpackie,5340
2001,Podlaskie,3629
2001,Pomorskie,7614
2001,Warmińsko-Mazurskie,3767
2001,Wielkopolskie,10762
2001,Zachodniopomorskie,5453
2001,Łódzkie,6980
2001,Śląskie,13694
2001,Świętokrzyskie,4828
2002,Dolnośląskie,10110
2002,Kujawsko-Pomorskie,5305
2002,Lubelskie,7212
2002,Lubuskie,1604
2002,Mazowieckie,14253
2002,Małopolskie,10699
2002,Opolskie,3341
2002,Podkarpackie,5547
2002,Podlaskie,3631
2002,Pomorskie,7367
2002,Warmińsko-Mazurskie,3532
2002,Wielkopolskie,10835
2002,Zachodniopomorskie,5831
2002,Łódzkie,7443
2002,Śląskie,13107
2002,Świętokrzyskie,5145
2003,Dolnośląskie,9742
2003,Kujawsko-Pomorskie,5759
2003,Lubelskie,6801
2003,Lubuskie,2510
2003,Mazowieckie,15380
2003,Małopolskie,11415
2003,Opolskie,3415
2003,Podkarpackie,6285
2003,Podlaskie,3581
2003,Pomorskie,7038
2003,Warmińsko-Mazurskie,4085
2003,Wielkopolskie,11173
2003,Zachodniopomorskie,5814
2003,Łódzkie,7153
2003,Śląskie,15779
2003,Świętokrzyskie,4955
2004,Dolnośląskie,10098
2004,Kujawsko-Pomorskie,5790
2004,Lubelskie,6582
2004,Lubuskie,2376
2004,Mazowieckie,14995
2004,Małopolskie,11235
2004,Opolskie,3330
2004,Podkarpackie,6386
2004,Podlaskie,3674
2004,Pomorskie,6888
2004,Warmińsko-Mazurskie,3989
2004,Wielkopolskie,11353
2004,Zachodniopomorskie,5730
2004,Łódzkie,8269
2004,Śląskie,15439
2004,Świętokrzyskie,4901
2005,Dolnośląskie,10390
2005,Kujawsko-Pomorskie,5836
2005,Lubelskie,8527
2005,Lubuskie,2912
2005,Mazowieckie,14911
2005,Małopolskie,10308
2005,Opolskie,3312
2005,Podkarpackie,6838
2005,Podlaskie,3975
2005,Pomorskie,7400
2005,Warmińsko-Mazurskie,4235
2005,Wielkopolskie,11753
2005,Zachodniopomorskie,4940
2005,Łódzkie,9295
2005,Śląskie,15860
2005,Świętokrzyskie,4906
2006,Dolnośląskie,10714
2006,Kujawsko-Pomorskie,6861
2006,Lubelskie,7686
2006,Lubuskie,2926
2006,Mazowieckie,15439
2006,Małopolskie,10566
2006,Opolskie,3280
2006,Podkarpackie,6804
2006,Podlaskie,3900
2006,Pomorskie,7347
2006,Warmińsko-Mazurskie,3916
2006,Wielkopolskie,11940
2006,Zachodniopomorskie,4840
2006,Łódzkie,9051
2006,Śląskie,15788
2006,Świętokrzyskie,4705
2007,Dolnośląskie,11854
2007,Kujawsko-Pomorskie,7071
2007,Lubelskie,7420
2007,Lubuskie,3177
2007,Mazowieckie,16317
2007,Małopolskie,10762
2007,Opolskie,3480
2007,Podkarpackie,6986
2007,Podlaskie,3283
2007,Pomorskie,7681
2007,Warmińsko-Mazurskie,4257
2007,Wielkopolskie,12709
2007,Zachodniopomorskie,5095
2007,Łódzkie,8506
2007,Śląskie,15474
2007,Świętokrzyskie,4570
2008,Dolnośląskie,12162
2008,Kujawsko-Pomorskie,7732
2008,Lubelskie,7740
2008,Lubuskie,3347
2008,Mazowieckie,16152
2008,Małopolskie,11069
2008,Opolskie,3627
2008,Podkarpackie,7189
2008,Podlaskie,2930
2008,Pomorskie,7276
2008,Warmińsko-Mazurskie,4330
2008,Wielkopolskie,12904
2008,Zachodniopomorskie,4978
2008,Łódzkie,9205
2008,Śląskie,15206
2008,Świętokrzyskie,4879
2009,Dolnośląskie,11887
2009,Kujawsko-Pomorskie,7929
2009,Lubelskie,7358
2009,Lubuskie,3401
2009,Mazowieckie,16954
2009,Małopolskie,11227
