Rok,Województwo,Liczba
1999,Dolnośląskie,2045
1999,Kujawsko-Pomorskie,1233
1999,Lubelskie,973
1999,Lubuskie,195
1999,Mazowieckie,2227
1999,Małopolskie,1755
1999,Opolskie,598
1999,Podkarpackie,938
1999,Podlaskie,592
1999,Pomorskie,1460
1999,Warmińsko-Mazurskie,751
1999,Wielkopolskie,1624
1999,Zachodniopomorskie,1064
1999,Łódzkie,982
1999,Śląskie,2588
1999,Świętokrzyskie,771
2000,Dolnośląskie,1882
2000,Kujawsko-Pomorskie,1068
2000,Lubelskie,1213
2000,Lubuskie,467
2000,Mazowieckie,2225
2000,Małopolskie,1610
2000,Opolskie,580
2000,Podkarpackie,933
2000,Podlaskie,606
2000,Pomorskie,1381
2000,Warmińsko-Mazurskie,784
2000,Wielkopolskie,1542
2000,Zachodniopomorskie,1065
2000,Łódzkie,1186
2000,Śląskie,2613
2000,Świętokrzyskie,798
2001,Dolnośląskie,1919
2001,Kujawsko-Pomorskie,983
2001,Lubelskie,1281
2001,Lubuskie,452
2001,Mazowieckie,2227
2001,Małopolskie,1601
2001,Opolskie,549
2001,Podkarpackie,890
2001,Podlaskie,552
2001,Pomorskie,1369
2001,Warmińsko-Mazurskie,798
2001,Wielkopolskie,1472
2001,Zachodniopomorskie,1305
2001,Łódzkie,1335
2001,Śląskie,2180
2001,Świętokrzyskie,781
2002,Dolnośląskie,1884
2002,Kujawsko-Pomorskie,985
2002,Lubelskie,1246
2002,Lubuskie,297
2002,Mazowieckie,2216
2002,Małopolskie,1757
2002,Opolskie,498
2002,Podkarpackie,985
2002,Podlaskie,601
2002,Pomorskie,1379
2002,Warmińsko-Mazurskie,759
2002,Wielkopolskie,1550
2002,Zachodniopomorskie,1249
2002,Łódzkie,1260
2002,Śląskie,2080
2002,Świętokrzyskie,806
2003,Dolnośląskie,1806
2003,Kujawsko-Pomorskie,1033
2003,Lubelskie,1159
2003,Lubuskie,471
2003,Mazowieckie,2432
2003,Małopolskie,1914
2003,Opolskie,536
2003,Podkarpackie,921
2003,Podlaskie,592
2003,Pomorskie,1324
2003,Warmińsko-Mazurskie,828
2003,Wielkopolskie,1738
2003,Zachodniopomorskie,1264
2003,Łódzkie,1248
2003,Śląskie,2559
2003,Świętokrzyskie,718
2004,Dolnośląskie,1875
2004,Kujawsko-Pomorskie,1040
2004,Lubelskie,1163
2004,Lubuskie,487
2004,Mazowieckie,2348
2004,Małopolskie,1901
2004,Opolskie,515
2004,Podkarpackie,964
2004,Podlaskie,622
2004,Pomorskie,1417
2004,Warmińsko-Mazurskie,747
2004,Wielkopolskie,1629
2004,Zachodniopomorskie,1194
2004,Łódzkie,1218
2004,Śląskie,2443
2004,Świętokrzyskie,751
2005,Dolnośląskie,1842
2005,Kujawsko-Pomorskie,985
2005,Lubelskie,1219
2005,Lubuskie,489
2005,Mazowieckie,2392
2005,Małopolskie,1608
2005,Opolskie,509
2005,Podkarpackie,991
2005,Podlaskie,660
2005,Pomorskie,1421
2005,Warmińsko-Mazurskie,777
2005,Wielkopolskie,1634
2005,Zachodniopomorskie,994
2005,Łódzkie,1313
2005,Śląskie,2429
2005,Świętokrzyskie,781
2006,Dolnośląskie,1749
2006,Kujawsko-Pomorskie,1257
2006,Lubelskie,1217
2006,Lubuskie,535
2006,Mazowieckie,2432
2006,Małopolskie,1595
2006,Opolskie,482
2006,Podkarpackie,1026
2006,Podlaskie,607
2006,Pomorskie,1437
2006,Warmińsko-Mazurskie,836
2006,Wielkopolskie,1760
2006,Zachodniopomorskie,985
2006,Łódzkie,1237
2006,Śląskie,2273
2006,Świętokrzyskie,803
2007,Dolnośląskie,1984
2007,Kujawsko-Pomorskie,1159
2007,Lubelskie,1155
2007,Lubuskie,510
2007,Mazowieckie,2326
2007,Małopolskie,1613
2007,Opolskie,456
2007,Podkarpackie,1090
2007,Podlaskie,501
2007,Pomorskie,1421
2007,Warmińsko-Mazurskie,759
2007,Wielkopolskie,1755
2007,Zachodniopomorskie,973
2007,Łódzkie,1129
2007,Śląskie,2376
2007,Świętokrzyskie,702
2008,Dolnośląskie,1819
2008,Kujawsko-Pomorskie,1289
2008,Lubelskie,1182
2008,Lubuskie,526
2008,Mazowieckie,2276
2008,Małopolskie,1672
2008,Opolskie,485
2008,Podkarpackie,1065
2008,Podlaskie,341
2008,Pomorskie,1220
2008,Warmińsko-Mazurskie,819
2008,Wielkopolskie,1772
2008,Zachodniopomorskie,919
2008,Łódzkie,1248
2008,Śląskie,2061
2008,Świętokrzyskie,754
2009,Dolnośląskie,1828
2009,Kujawsko-Pomorskie,1294
2009,Lubelskie,1065
2009,Lubuskie,575
2009,Mazowieckie,2508
2009,Małopolskie,1514
2009,Opolskie,531
2009,Podkarpackie,1043
2009,Podlaskie,450
2009,Pomorskie,1464
2009,Warmińsko-Mazurskie,960
2009,Wielkopolskie,1704
2009,Zachodniopomorskie,960
2009,Łódzkie,1522
2009,Śląskie,2472
2009,Świętokrzyskie,713
2010,Dolnośląskie,1756
2010,Kujawsko-Pomorskie,1293
2010,Lubelskie,1171
2010,Lubuskie,505
2010,Mazowieckie,2657
2010,Małopolskie,1523
2010,Opolskie,486
2010,Podkarpackie,890
2010,Podlaskie,474
2010,Pomorskie,1373
2010,Warmińsko-Mazurskie,992
2010,Wielkopolskie,1785
2010,Zachodniopomorskie,1057
2010,Łódzkie,1567
2010,Śląskie,2557
2010,Świętokrzyskie,745
2011,Dolnośląskie,1758
2011,Kujawsko-Pomorskie,1317
2011,Lubelskie,1110
2011,Lubuskie,476
2011,Mazowieckie,2649
2011,Małopolskie,1483
2011,Opolskie,564
2011,Podkarpackie,886
2011,Podlaskie,453
2011,Pomorskie,1408
2011,Warmińsko-Mazurskie,948
2011,Wielkopolskie,1879
2011,Zachodniopomorskie,926
2011,Łódzkie,1570
2011,Śląskie,2618
2011,Świętokrzyskie,759
2012,Dolnośląskie,1859
2012,Kujawsko-Pomorskie,1480
2012,Lubelskie,1211
2012,Lubuskie,580
2012,Mazowieckie,2669
2012,Małopolskie,1594
2012,Opolskie,542
2012,Podkarpackie,992
2012,Podlaskie,555
2012,Pomorskie,1491
2012,Warmińsko-Mazurskie,1036
2012,Wielkopolskie,1852
2012,Zachodniopomorskie,1119
2012,Łódzkie,1429
2012,Śląskie,2716
2012,Świętokrzyskie,712
2013,Dolnośląskie,1836
2013,Kujawsko-Pomorskie,1544
2013,Lubelskie,1076
2013,Lubuskie,566
2013,Mazowieckie,2685
2013,Małopolskie,1616
2013,Opolskie,564
2013,Podkarpackie,941
2013,Podlaskie,497
2013,Pomorskie,1462
2013,Warmińsko-Mazurskie,983
2013,Wielkopolskie,1961
2013,Zachodniopomorskie,1043
2013,Łódzkie,1275
2013,Śląskie,2723
2013,Świętokrzyskie,751
2014,Dolnośląskie,1889
2014,Kujawsko-Pomorskie,1667
2014,Lubelskie,1144
2014,Lubuskie,614
2014,Mazowieckie,2470
2014,Małopolskie,1619
2014,Opolskie,599
2014,Podkarpackie,964
2014,Podlaskie,491
2014,Pomorskie,1526
2014,Warmińsko-Mazurskie,1063
2014,Wielkopolskie,1865
2014,Zachodniopomorskie,1129
2014,Łódzkie,1397
2014,Śląskie,2745
2014,Świętokrzyskie,820
2015,Dolnośląskie,1785
