Rok,Województwo,Liczba
1999,Dolnośląskie,2371
1999,Kujawsko-Pomorskie,1457
1999,Lubelskie,1141
1999,Lubuskie,229
1999,Mazowieckie,2654
1999,Małopolskie,2067
1999,Opolskie,693
1999,Podkarpackie,1075
1999,Podlaskie,685
1999,Pomorskie,1677
1999,Warmińsko-Mazurskie,873
1999,Wielkopolskie,1891
1999,Zachodniopomorskie,1151
1999,Łódzkie,1204
1999,Śląskie,3087
1999,Świętokrzyskie,945
2000,Dolnośląskie,2174
2000,Kujawsko-Pomorskie,1251
2000,Lubelskie,1424
2000,Lubuskie,546
2000,Mazowieckie,2655
2000,Małopolskie,1917
2000,Opolskie,685
2000,Podkarpackie,1101
2000,Podlaskie,680
2000,Pomorskie,1584
2000,Warmińsko-Mazurskie,887
2000,Wielkopolskie,1817
2000,Zachodniopomorskie,1168
2000,Łódzkie,1457
2000,Śląskie,3097
2000,Świętokrzyskie,933
2001,Dolnośląskie,2228
2001,Kujawsko-Pomorskie,1181
2001,Lubelskie,1512
2001,Lubuskie,513
2001,Mazowieckie,2664
2001,Małopolskie,1876
2001,Opolskie,635
2001,Podkarpackie,1061
2001,Podlaskie,623
2001,Pomorskie,1571
2001,Warmińsko-Mazurskie,914
2001,Wielkopolskie,1766
2001,Zachodniopomorskie,1414
2001,Łódzkie,1595
2001,Śląskie,2609
2001,Świętokrzyskie,931
2002,Dolnośląskie,2170
2002,Kujawsko-Pomorskie,1157
2002,Lubelskie,1462
2002,Lubuskie,337
2002,Mazowieckie,2574
2002,Małopolskie,2051
2002,Opolskie,572
2002,Podkarpackie,1140
2002,Podlaskie,691
2002,Pomorskie,1588
2002,Warmińsko-Mazurskie,853
2002,Wielkopolskie,1791
2002,Zachodniopomorskie,1368
2002,Łódzkie,1527
2002,Śląskie,2478
2002,Świętokrzyskie,943
2003,Dolnośląskie,2105
2003,Kujawsko-Pomorskie,1206
2003,Lubelskie,1331
2003,Lubuskie,541
2003,Mazowieckie,2850
2003,Małopolskie,2167
2003,Opolskie,644
2003,Podkarpackie,1101
2003,Podlaskie,679
2003,Pomorskie,1482
2003,Warmińsko-Mazurskie,938
2003,Wielkopolskie,1980
2003,Zachodniopomorskie,1368
2003,Łódzkie,1504
2003,Śląskie,2971
2003,Świętokrzyskie,846
2004,Dolnośląskie,2143
2004,Kujawsko-Pomorskie,1217
2004,Lubelskie,1337
2004,Lubuskie,546
2004,Mazowieckie,2735
2004,Małopolskie,2153
2004,Opolskie,600
2004,Podkarpackie,1116
2004,Podlaskie,678
2004,Pomorskie,1564
2004,Warmińsko-Mazurskie,857
2004,Wielkopolskie,1879
2004,Zachodniopomorskie,1311
2004,Łódzkie,1457
2004,Śląskie,2872
2004,Świętokrzyskie,865
2005,Dolnośląskie,2091
2005,Kujawsko-Pomorskie,1161
2005,Lubelskie,1439
2005,Lubuskie,584
2005,Mazowieckie,2754
2005,Małopolskie,1864
2005,Opolskie,586
2005,Podkarpackie,1167
2005,Podlaskie,730
2005,Pomorskie,1596
2005,Warmińsko-Mazurskie,892
2005,Wielkopolskie,1891
2005,Zachodniopomorskie,1120
2005,Łódzkie,1570
2005,Śląskie,2831
2005,Świętokrzyskie,894
2006,Dolnośląskie,1990
2006,Kujawsko-Pomorskie,1453
2006,Lubelskie,1418
2006,Lubuskie,601
2006,Mazowieckie,2803
2006,Małopolskie,1832
2006,Opolskie,557
2006,Podkarpackie,1194
2006,Podlaskie,692
2006,Pomorskie,1588
2006,Warmińsko-Mazurskie,928
2006,Wielkopolskie,2003
2006,Zachodniopomorskie,1072
2006,Łódzkie,1469
2006,Śląskie,2640
2006,Świętokrzyskie,900
2007,Dolnośląskie,2243
2007,Kujawsko-Pomorskie,1333
2007,Lubelskie,1322
2007,Lubuskie,571
2007,Mazowieckie,2704
2007,Małopolskie,1850
2007,Opolskie,552
2007,Podkarpackie,1234
2007,Podlaskie,569
2007,Pomorskie,1539
2007,Warmińsko-Mazurskie,872
2007,Wielkopolskie,2035
2007,Zachodniopomorskie,1056
2007,Łódzkie,1352
2007,Śląskie,2733
2007,Świętokrzyskie,801
2008,Dolnośląskie,2090
2008,Kujawsko-Pomorskie,1494
2008,Lubelskie,1373
2008,Lubuskie,596
2008,Mazowieckie,2597
2008,Małopolskie,1913
2008,Opolskie,552
2008,Podkarpackie,1228
2008,Podlaskie,419
2008,Pomorskie,1334
2008,Warmińsko-Mazurskie,912
2008,Wielkopolskie,2035
2008,Zachodniopomorskie,1013
2008,Łódzkie,1485
2008,Śląskie,2441
2008,Świętokrzyskie,864
2009,Dolnośląskie,2087
2009,Kujawsko-Pomorskie,1488
2009,Lubelskie,1235
2009,Lubuskie,651
2009,Mazowieckie,2848
2009,Małopolskie,1771
2009,Opolskie,605
2009,Podkarpackie,1195
2009,Podlaskie,531
2009,Pomorskie,1612
2009,Warmińsko-Mazurskie,1068
2009,Wielkopolskie,1998
2009,Zachodniopomorskie,1050
2009,Łódzkie,1759
2009,Śląskie,2833
2009,Świętokrzyskie,836
2010,Dolnośląskie,1970
2010,Kujawsko-Pomorskie,1454
2010,Lubelskie,1332
2010,Lubuskie,587
2010,Mazowieckie,2989
2010,Małopolskie,1742
2010,Opolskie,561
2010,Podkarpackie,1022
2010,Podlaskie,546
2010,Pomorskie,1528
2010,Warmińsko-Mazurskie,1070
2010,Wielkopolskie,2032
2010,Zachodniopomorskie,1152
2010,Łódzkie,1809
2010,Śląskie,2922
2010,Świętokrzyskie,838
2011,Dolnośląskie,2008
2011,Kujawsko-Pomorskie,1479
2011,Lubelskie,1269
2011,Lubuskie,558
2011,Mazowieckie,2987
2011,Małopolskie,1694
2011,Opolskie,636
2011,Podkarpackie,1004
2011,Podlaskie,535
2011,Pomorskie,1533
2011,Warmińsko-Mazurskie,1034
2011,Wielkopolskie,2202
2011,Zachodniopomorskie,1017
2011,Łódzkie,1780
2011,Śląskie,2958
2011,Świętokrzyskie,833
2012,Dolnośląskie,2118
2012,Kujawsko-Pomorskie,1668
2012,Lubelskie,1368
2012,Lubuskie,655
2012,Mazowieckie,2983
2012,Małopolskie,1811
2012,Opolskie,600
2012,Podkarpackie,1141
2012,Podlaskie,633
2012,Pomorskie,1668
2012,Warmińsko-Mazurskie,1157
2012,Wielkopolskie,2123
2012,Zachodniopomorskie,1245
2012,Łódzkie,1686
2012,Śląskie,3084
2012,Świętokrzyskie,812
2013,Dolnośląskie,2058
2013,Kujawsko-Pomorskie,1722
2013,Lubelskie,1229
2013,Lubuskie,625
2013,Mazowieckie,2970
2013,Małopolskie,1819
2013,Opolskie,637
2013,Podkarpackie,1077
2013,Podlaskie,586
2013,Pomorskie,1640
2013,Warmińsko-Mazurskie,1092
2013,Wielkopolskie,2270
2013,Zachodniopomorskie,1157
2013,Łódzkie,1504
2013,Śląskie,3068
2013,Świętokrzyskie,847
2014,Dolnośląskie,2135
2014,Kujawsko-Pomorskie,1841
2014,Lubelskie,1316
2014,Lubuskie,695
2014,Mazowieckie,2814
2014,Małopolskie,1823
2014,Opolskie,688
2014,Podkarpackie,1105
2014,Podlaskie,579
2014,Pomorskie,1695
2014,Warmińsko-Mazurskie,1169
2014,Wielkopolskie,2137
2014,Zachodniopomorskie,1236
2014,Łódzkie,1648
2014,Śląskie,3057
2014,Świętokrzyskie,920
2015,Dolnośląskie,2062
2015,Kujawsko-Pomorskie,1657
2015,Lubelskie,1187
2015,Lubuskie,636
2015,Mazowieckie,3169
2015,Małopolskie,1843
2015,Opolskie,576
2015,Podkarpackie,1044
2015,Podlaskie,638
2015,Pomorskie,1779
2015,Warmińsko-Mazurskie,1177
2015,Wielkopolskie,2266
2015,Zachodniopomorskie,1287
2015,Łódzkie,1699
2015,Śląskie,3220
2015,Świętokrzyskie,844
2016,Dolnośląskie,2077
2016,Kujawsko-Pomorskie,1842
2016,Lubelskie,1207
2016,Lubuskie,624
2016,Mazowieckie,2895
2016,Małopolskie,1718
2016,Opolskie,518
2016,Podkarpackie,1068
2016,Podlaskie,587
2016,Pomorskie,1681
2016,Warmińsko-Mazurskie,1162
2016,Wielkopolskie,2368
2016,Zachodniopomorskie,1330
2016,Łódzkie,1835
2016,Śląskie,3180
2016,Świętokrzyskie,913
2017,Dolnośląskie,2151
2017,Kujawsko-Pomorskie,1682
2017,Lubelskie,1212
2017,Lubuskie,625
2017,Mazowieckie,2972
2017,Małopolskie,1652
2017,Opolskie,597
2017,Podkarpackie,1060
2017,Podlaskie,580
2017,Pomorskie,1717
2017,Warmińsko-Mazurskie,1091
2017,Wielkopolskie,2306
2017,Zachodniopomorskie,1138
2017,Łódzkie,1689
2017,Śląskie,3041
2017,Świętokrzyskie,826
2018,Dolnośląskie,2203
2018,Kujawsko-Pomorskie,1768
2018,Lubelskie,1093
2018,Lubuskie,504
2018,Mazowieckie,2543
2018,Małopolskie,1739
2018,Opolskie,621
2018,Podkarpackie,1033
2018,Podlaskie,470
2018,Pomorskie,1727
2018,Warmińsko-Mazurskie,1119
2018,Wielkopolskie,2217
2018,Zachodniopomorskie,1138
2018,Łódzkie,1781
2018,Śląskie,3002
2018,Świętokrzyskie,861
