Rok,Województwo,Liczba
1999,Dolnośląskie,4378
1999,Kujawsko-Pomorskie,2632
1999,Lubelskie,1994
1999,Lubuskie,432
1999,Mazowieckie,4999
1999,Małopolskie,4046
1999,Opolskie,1356
1999,Podkarpackie,1896
1999,Podlaskie,1317
1999,Pomorskie,2992
1999,Warmińsko-Mazurskie,1554
1999,Wielkopolskie,3968
1999,Zachodniopomorskie,1942
1999,Łódzkie,2114
1999,Śląskie,6023
1999,Świętokrzyskie,1839
2000,Dolnośląskie,3831
2000,Kujawsko-Pomorskie,2269
2000,Lubelskie,2425
2000,Lubuskie,927
2000,Mazowieckie,5132
2000,Małopolskie,3790
2000,Opolskie,1376
2000,Podkarpackie,2096
2000,Podlaskie,1268
2000,Pomorskie,2842
2000,Warmińsko-Mazurskie,1478
2000,Wielkopolskie,3960
2000,Zachodniopomorskie,1819
2000,Łódzkie,2667
2000,Śląskie,6032
2000,Świętokrzyskie,1792
2001,Dolnośląskie,3857
2001,Kujawsko-Pomorskie,2191
2001,Lubelskie,2780
2001,Lubuskie,902
2001,Mazowieckie,5480
2001,Małopolskie,3724
2001,Opolskie,1400
2001,Podkarpackie,2038
2001,Podlaskie,1316
2001,Pomorskie,2868
2001,Warmińsko-Mazurskie,1545
2001,Wielkopolskie,4072
2001,Zachodniopomorskie,2246
2001,Łódzkie,2811
2001,Śląskie,5295
2001,Świętokrzyskie,1789
2002,Dolnośląskie,3966
2002,Kujawsko-Pomorskie,2176
2002,Lubelskie,2648
2002,Lubuskie,646
2002,Mazowieckie,5461
2002,Małopolskie,4118
2002,Opolskie,1390
2002,Podkarpackie,2179
2002,Podlaskie,1362
2002,Pomorskie,2738
2002,Warmińsko-Mazurskie,1465
2002,Wielkopolskie,4171
2002,Zachodniopomorskie,2329
2002,Łódzkie,2799
2002,Śląskie,4999
2002,Świętokrzyskie,1914
2003,Dolnośląskie,3868
2003,Kujawsko-Pomorskie,2411
2003,Lubelskie,2498
2003,Lubuskie,1047
2003,Mazowieckie,6045
2003,Małopolskie,4511
2003,Opolskie,1489
2003,Podkarpackie,2251
2003,Podlaskie,1296
2003,Pomorskie,2630
2003,Warmińsko-Mazurskie,1659
2003,Wielkopolskie,4457
2003,Zachodniopomorskie,2268
2003,Łódzkie,2659
2003,Śląskie,6324
2003,Świętokrzyskie,1877
2004,Dolnośląskie,3863
2004,Kujawsko-Pomorskie,2254
2004,Lubelskie,2436
2004,Lubuskie,1051
2004,Mazowieckie,5646
2004,Małopolskie,4472
2004,Opolskie,1476
2004,Podkarpackie,2341
2004,Podlaskie,1350
2004,Pomorskie,2809
2004,Warmińsko-Mazurskie,1583
2004,Wielkopolskie,4422
2004,Zachodniopomorskie,2267
2004,Łódzkie,3078
2004,Śląskie,5874
2004,Świętokrzyskie,1866
2005,Dolnośląskie,4044
2005,Kujawsko-Pomorskie,2272
2005,Lubelskie,3197
2005,Lubuskie,1249
2005,Mazowieckie,5731
2005,Małopolskie,3926
2005,Opolskie,1392
2005,Podkarpackie,2493
2005,Podlaskie,1457
2005,Pomorskie,3122
2005,Warmińsko-Mazurskie,1691
2005,Wielkopolskie,4576
2005,Zachodniopomorskie,2079
2005,Łódzkie,3642
2005,Śląskie,6124
2005,Świętokrzyskie,1893
2006,Dolnośląskie,4133
2006,Kujawsko-Pomorskie,2633
2006,Lubelskie,2899
2006,Lubuskie,1253
2006,Mazowieckie,5948
2006,Małopolskie,3987
2006,Opolskie,1471
2006,Podkarpackie,2560
2006,Podlaskie,1432
2006,Pomorskie,2911
2006,Warmińsko-Mazurskie,1658
2006,Wielkopolskie,4661
2006,Zachodniopomorskie,2024
2006,Łódzkie,3558
2006,Śląskie,5909
2006,Świętokrzyskie,1774
2007,Dolnośląskie,4611
2007,Kujawsko-Pomorskie,2669
2007,Lubelskie,2786
2007,Lubuskie,1283
2007,Mazowieckie,6149
2007,Małopolskie,4094
2007,Opolskie,1448
2007,Podkarpackie,2582
2007,Podlaskie,1171
2007,Pomorskie,2907
2007,Warmińsko-Mazurskie,1679
2007,Wielkopolskie,4971
2007,Zachodniopomorskie,2074
2007,Łódzkie,3186
2007,Śląskie,5862
2007,Świętokrzyskie,1683
2008,Dolnośląskie,4584
2008,Kujawsko-Pomorskie,3013
2008,Lubelskie,2969
2008,Lubuskie,1341
2008,Mazowieckie,6031
2008,Małopolskie,4154
2008,Opolskie,1506
2008,Podkarpackie,2678
2008,Podlaskie,953
2008,Pomorskie,2677
2008,Warmińsko-Mazurskie,1747
2008,Wielkopolskie,4919
2008,Zachodniopomorskie,1906
2008,Łódzkie,3438
2008,Śląskie,5460
2008,Świętokrzyskie,1871
2009,Dolnośląskie,4682
2009,Kujawsko-Pomorskie,2822
2009,Lubelskie,2830
2009,Lubuskie,1402
2009,Mazowieckie,6195
2009,Małopolskie,4174
2009,Opolskie,1577
2009,Podkarpackie,2600
2009,Podlaskie,1174
2009,Pomorskie,3487
2009,Warmińsko-Mazurskie,2110
2009,Wielkopolskie,4960
2009,Zachodniopomorskie,1993
2009,Łódzkie,3667
2009,Śląskie,6428
2009,Świętokrzyskie,1876
2010,Dolnośląskie,4501
2010,Kujawsko-Pomorskie,3092
2010,Lubelskie,3022
2010,Lubuskie,1335
2010,Mazowieckie,6524
2010,Małopolskie,4006
2010,Opolskie,1524
2010,Podkarpackie,2507
2010,Podlaskie,1254
2010,Pomorskie,3728
2010,Warmińsko-Mazurskie,2098
2010,Wielkopolskie,5181
2010,Zachodniopomorskie,2195
2010,Łódzkie,4033
2010,Śląskie,6368
2010,Świętokrzyskie,1998
2011,Dolnośląskie,4755
2011,Kujawsko-Pomorskie,3420
2011,Lubelskie,3140
2011,Lubuskie,1304
2011,Mazowieckie,6854
2011,Małopolskie,4328
2011,Opolskie,1654
2011,Podkarpackie,2588
2011,Podlaskie,1240
2011,Pomorskie,3707
2011,Warmińsko-Mazurskie,2133
2011,Wielkopolskie,5523
2011,Zachodniopomorskie,2104
2011,Łódzkie,3877
2011,Śląskie,6537
2011,Świętokrzyskie,1938
2012,Dolnośląskie,4814
2012,Kujawsko-Pomorskie,3515
2012,Lubelskie,3196
2012,Lubuskie,1495
2012,Mazowieckie,6891
2012,Małopolskie,4978
2012,Opolskie,1622
2012,Podkarpackie,2878
2012,Podlaskie,1486
2012,Pomorskie,4082
2012,Warmińsko-Mazurskie,2353
2012,Wielkopolskie,5637
2012,Zachodniopomorskie,2929
2012,Łódzkie,4197
2012,Śląskie,7015
2012,Świętokrzyskie,1829
2013,Dolnośląskie,5016
2013,Kujawsko-Pomorskie,3579
2013,Lubelskie,3437
2013,Lubuskie,1509
2013,Mazowieckie,6688
2013,Małopolskie,5016
2013,Opolskie,1820
2013,Podkarpackie,2880
2013,Podlaskie,1443
2013,Pomorskie,4158
2013,Warmińsko-Mazurskie,2280
2013,Wielkopolskie,5948
2013,Zachodniopomorskie,2809
2013,Łódzkie,3767
2013,Śląskie,7026
2013,Świętokrzyskie,2091
2014,Dolnośląskie,5238
2014,Kujawsko-Pomorskie,3982
2014,Lubelskie,3481
2014,Lubuskie,1618
2014,Mazowieckie,6709
2014,Małopolskie,5149
2014,Opolskie,1879
2014,Podkarpackie,3302
2014,Podlaskie,1515
2014,Pomorskie,4040
